;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;
Latin America;25.423;27.745;30.134;30.673;33.186;34.302;36.409;39.552;43.333;46.246;45.852;49.548;49.087;52.563;57.115;57.299;58.612;59.411;63.321;67.023;71.152;79.844;79.194;84.334;81.634;86.754;93.654;94.154;98.253;106.804;110.297;120.634;120.322;128.973;120.813;133.257;136.639;148.056;155.103;158.990;159.346;152.635;156.824;148.667;145.470;131.875;145.310;139.288;;;
Argentina;9.000;10.130;10.580;10.290;10.580;11.530;12.050;13.690;14.720;15.670;16.010;17.300;17.310;20.220;21.240;20.290;20.660;22.340;23.590;24.250;26.990;30.970;28.540;30.510;32.360;33.210;31.090;30.270;34.580;37.850;40.820;41.350;43.920;44.410;43.140;43.290;46.140;46.450;47.240;46.690;46.990;49.730;50.350;51.150;48.220;44.980;47.460;48.945;;;
Bolivia;150;190;220;240;230;250;310;320;290;350;500;460;510;550;830;740;770;930;850;990;1.230;1.050;1.340;390;530;1.000;1.780;1.470;2.240;2.140;1.990;2.010;2.510;2.870;2.830;2.720;2.400;3.190;3.370;3.850;3.340;3.000;3.800;3.890;4.100;4.160;4.810;5.176;;;
Brazil;650;740;1.060;1.020;1.120;1.230;1.170;1.280;1.560;1.960;2.170;2.770;2.920;3.300;3.520;3.580;3.510;3.740;4.130;4.220;4.510;5.800;5.520;5.800;6.270;7.430;9.590;13.390;14.140;17.280;18.740;19.740;19.860;23.650;18.720;25.190;25.060;30.250;35.720;37.780;39.390;33.910;34.390;32.440;31.840;29.870;37.660;33.894;;;
Colombia;1.860;1.890;2.100;2.350;2.640;2.810;2.970;2.960;4.140;4.080;4.110;4.150;4.060;4.220;4.130;4.310;4.400;4.270;4.440;4.600;4.550;5.130;5.970;6.260;5.180;5.910;6.090;6.160;6.090;6.360;6.670;7.220;7.540;7.500;8.690;9.080;8.840;10.090;10.700;11.730;11.510;10.480;9.650;9.760;10.130;10.250;10.010;10.110;;;
Peru;1.140;1.210;1.220;1.320;1.170;1.440;1.390;1.340;1.190;1.290;1.340;1.420;1.410;1.250;1.150;1.150;1.000;910;960;980;930;970;240;410;410;340;370;440;520;860;1.580;1.780;2.670;3.650;3.470;5.490;5.710;6.610;7.020;7.670;7.670;8.930;7.650;7.720;8.620;7.140;8.320;8.736;;;
Trinidad & Tobago;1.780;2.020;2.320;2.710;3.170;2.370;2.260;2.900;5.060;5.540;4.140;4.280;4.220;4.360;4.400;5.580;5.700;5.500;6.170;7.070;7.590;8.570;9.300;9.300;9.540;10.600;11.640;12.700;14.430;13.360;15.130;20.190;20.250;21.940;20.950;23.320;22.970;22.670;23.010;23.010;21.850;18.350;20.280;18.520;18.730;16.000;16.150;15.683;;;
Venezuela;10.813;11.535;12.594;12.703;14.226;14.642;16.199;16.992;16.313;17.276;17.502;19.088;18.607;18.583;21.765;21.549;22.472;21.621;23.081;24.813;25.212;27.204;28.144;31.444;26.784;27.204;31.714;28.414;24.403;27.204;23.447;26.004;20.832;22.253;20.233;21.177;22.569;24.606;23.643;23.720;24.076;23.715;26.204;20.117;17.550;13.725;13.650;9.292;;;
Others;30;30;40;40;50;30;60;70;60;80;80;80;50;80;80;100;100;100;100;100;140;150;140;220;560;1.060;1.380;1.310;1.850;1.750;1.920;2.340;2.740;2.700;2.780;2.990;2.950;4.190;4.400;4.540;4.520;4.520;4.500;5.070;6.280;5.750;7.250;7.453;;;
Middle East;25.421;25.883;26.352;29.588;40.667;37.694;37.990;35.909;38.874;53.392;64.861;71.696;81.621;92.731;102.952;101.429;99.173;115.512;121.017;128.557;134.074;148.557;165.529;176.480;181.351;186.012;199.433;216.786;227.907;241.798;277.913;289.374;304.477;332.166;356.747;394.657;397.641;424.965;431.973;452.079;476.649;484.342;524.901;541.946;550.434;553.399;567.645;577.209;;;
